ax,ay,az,gx,gy,gz,time
401040.0,0.09,-0.35,9.91,0.01,0.02,0.0
401053.0,0.12,-0.37,9.95,0.02,0.01,-0.0
401066.0,0.04,-0.31,9.96,0.01,0.02,-0.0
401079.0,-0.02,-0.39,9.92,0.01,0.01,0.0
401092.0,0.03,-0.39,9.93,0.01,0.02,-0.0
401105.0,0.12,-0.37,9.97,0.01,0.01,-0.0
401118.0,0.09,-0.32,9.95,0.01,0.01,-0.0
401131.0,0.06,-0.36,9.96,0.01,0.01,-0.01
401144.0,0.08,-0.37,9.94,0.01,0.02,-0.01
401157.0,0.09,-0.3,9.97,0.01,0.01,-0.0
401170.0,0.07,-0.35,9.94,0.01,0.01,-0.0
401183.0,0.11,-0.37,9.97,0.01,0.02,-0.0
401196.0,0.09,-0.38,9.92,0.01,0.01,-0.0
401209.0,0.04,-0.35,9.97,0.01,0.01,-0.0
401222.0,0.03,-0.34,9.9,0.02,0.01,-0.0
401235.0,0.02,-0.41,9.9,0.01,0.01,-0.0
401249.0,0.09,-0.36,9.91,0.03,0.01,-0.0
401262.0,0.09,-0.38,9.97,0.02,0.01,-0.0
401275.0,0.09,-0.41,10.01,0.02,0.01,-0.0
401288.0,0.09,-0.38,9.93,0.01,0.02,0.0
401301.0,0.06,-0.38,9.96,0.02,0.01,-0.0
401314.0,0.03,-0.35,9.95,0.02,0.01,-0.0
401327.0,0.11,-0.38,9.97,0.02,0.01,-0.0
401340.0,0.05,-0.41,9.85,0.03,0.02,-0.0
401353.0,-0.26,-0.58,9.96,0.01,0.01,-0.0
401366.0,-0.24,-0.45,9.87,0.0,0.01,0.02
401379.0,0.23,-0.31,9.89,0.01,0.01,0.02
401392.0,0.66,-0.02,9.87,0.02,0.02,0.02
401405.0,0.03,-0.22,9.92,0.01,0.01,0.0
401418.0,0.08,-0.64,10.6,-0.04,0.01,-0.0
401431.0,0.05,-0.26,9.76,-0.01,0.01,-0.01
401444.0,0.05,-0.41,9.98,0.0,0.02,-0.0
401457.0,0.03,-0.35,9.97,0.0,0.01,-0.0
401470.0,0.11,-0.37,10.0,-0.0,0.01,-0.0
401483.0,0.06,-0.4,10.0,-0.01,0.02,-0.0
401497.0,0.01,-0.44,9.84,-0.01,0.01,-0.0
401510.0,0.12,-0.28,10.06,0.0,0.02,-0.01
401523.0,0.06,-0.31,9.94,0.02,0.02,-0.0
401536.0,0.34,-0.53,9.72,0.02,0.01,-0.01
401549.0,0.04,-0.37,9.87,0.02,0.01,0.0
401562.0,0.09,-0.34,9.94,0.01,0.02,-0.01
401575.0,0.11,-0.34,9.96,0.01,0.01,-0.0
401588.0,0.05,-0.35,9.92,0.02,0.01,-0.01
