time_s,axis,tremor_signal,tremor_amplitude,tremor_phase
1767577466.280252,gy,-0.0009551327202672073,0.0020289931106612646,-2.0609281766074967
1767577466.280573,gy,8.4276184745223e-05,0.0032461310804170465,-1.5448313694529643
1767577466.280869,gy,0.0011044287199735085,0.0034488053464606845,-1.2448186211781433
1767577466.281172,gy,0.0020639100960362622,0.0039577644831591385,-1.0222073131543945
1767577466.2814631,gy,0.002924890467963563,0.004140231409671594,-0.7863183750064872
1767577466.281773,gy,0.003654818128315239,0.004434724809584661,-0.6021205678147881
1767577466.2820742,gy,0.0042278043294428835,0.004578050029677956,-0.393703826876836
1767577466.282367,gy,0.004625634546949789,0.004743208425397852,-0.22311846961564824
1767577466.282659,gy,0.004838364323630628,0.004840595724915474,-0.030364848280658982
1767577466.2828631,gy,0.004864482724561885,0.004908596204665499,0.13416764336500112
1767577466.283017,gy,0.004710651111910796,0.00495711522322743,0.3166601154682394
1767577466.283162,gy,0.004391047891894249,0.004946484109763019,0.4784471947355645
1767577466.283319,gy,0.003926369940619246,0.00494594352830958,0.6536713199978798
1767577466.283479,gy,0.0033425577046850424,0.004870842901421063,0.814491925310689
1767577466.283627,gy,0.002669322808253091,0.004823393300019639,0.984341375045483
1767577466.283775,gy,0.0019385639314017337,0.004696529000097552,1.1453084114213787
1767577466.283924,gy,0.0011827586294855107,0.004606342015982471,1.3111203184124167
1767577466.284088,gy,0.0004334157975332216,0.004439899857288726,1.4730222459064297
1767577466.2842371,gy,-0.00028033399628272045,0.004312815675899205,1.635842411964891
1767577466.284385,gy,-0.0009329445199710337,0.004118639189214668,1.799297244688537
1767577466.284538,gy,-0.0015034050483545374,0.0039617680383761626,1.9600286934641027
1767577466.284708,gy,-0.001975902307045877,0.0037512068760612487,2.1255545045442545
1767577466.284856,gy,-0.002340176658056748,0.003572494870858214,2.2850502660345784
1767577466.285014,gy,-0.002591573763027534,0.0033561089363899703,2.4530863700398005
1767577466.285166,gy,-0.0027308096093152075,0.003163886491596657,2.6122094239012417
1767577466.285318,gy,-0.0027634814627719626,0.002951098435776091,2.783094125615017
1767577466.285462,gy,-0.002699369303376176,0.0027536288367171155,2.9427470226751304
1767577466.2856162,gy,-0.0025515810239867508,0.0025523755432324607,3.1166406061281298
1767577466.285766,gy,-0.0023355997397767345,0.00235741737142898,3.277748431575494
1767577466.2859251,gy,-0.002068292816139776,0.002173832051227924,3.4544756088949966
1767577466.28608,gy,-0.0017669397872327847,0.001988224889245791,3.617882301031765
1767577466.286227,gy,-0.001448330591788104,0.0018263770752954542,3.7966591316890574
1767577466.286381,gy,-0.0011279771197327485,0.0016556571410077825,3.9628700913607267
1767577466.2865448,gy,-0.0008194707119716058,0.001517390011538306,4.141889146676151
1767577466.286693,gy,-0.0005340068270508596,0.0013654515990891723,4.310579434859132
1767577466.286826,gy,-0.0002800864416237753,0.00125039359679594,4.4864735535720754
1767577466.286956,gy,-6.33926861461087e-05,0.001119255086082463,4.65572037212722
1767577466.287094,gy,0.00011316862621643346,0.0010251439015401711,4.823007355540987
1767577466.287224,gy,0.00024928409757425353,0.0009149674337468922,4.988328811095383
1767577466.2873542,gy,0.00034692920136577247,0.0008384668210923038,5.138976073760841
1767577466.287479,gy,0.0004099758492651685,0.000748080887517761,5.292404348222521
1767577466.28761,gy,0.00044374254407416745,0.00068621798882932,5.41557279795803
1767577466.287735,gy,0.00045451810765542906,0.0006143921167425413,5.545139829150652
1767577466.287868,gy,0.00044908758917974143,0.0005665548593325964,5.627555156405559
1767577466.287997,gy,0.0004342851339156406,0.0005140200851854788,5.71872922406771
1767577466.288128,gy,0.00041659382511368895,0.0004839425917576842,5.749293589865262
1767577466.2882571,gy,0.00040180726073625573,0.0004550778284953223,5.7944808886090104
1767577466.288385,gy,0.00039476228836059446,0.00045029662663460866,5.781288599480254
1767577466.288522,gy,0.00039914724845406844,0.00045069935953457365,5.8002109792744
1767577466.288654,gy,0.0004173855778014821,0.0004755482840796937,5.7834164906120735
1767577466.288831,gy,0.0004505909157531717,0.0005046678784533897,5.816015417773207
1767577466.288983,gy,0.0004985870221543398,0.0005541047200077965,5.831714751923566
1767577466.289112,gy,0.0005599838490106381,0.0006046404467866769,5.896445284580137
1767577466.289249,gy,0.0006322999609471064,0.000669392004711498,5.948727591514954
1767577466.289382,gy,0.0007121211143234293,0.0007336030299990805,6.040587731101574
1767577466.28952,gy,0.0007952851109142374,0.0008060452169034006,6.119606181576468
1767577466.289657,gy,0.0008770839290271043,0.0008783686490580361,6.229093214856783
1767577466.2897909,gy,0.0009524754250626885,0.0009533414378656322,6.325812408416635
1767577466.28992,gy,0.0010162983415705222,0.0010299289375967254,6.4460582449421855
1767577466.290049,gy,0.0010634856672940935,0.0011039609479467037,6.554809838677793
1767577466.290174,gy,0.001089272354716224,0.0011819336259501821,6.681793834461666
1767577466.2903051,gy,0.0010893939688395957,0.0012526180841147812,6.7994003477404545
1767577466.29043,gy,0.0010602731032141575,0.001329639351297393,6.930984029070453
1767577466.29056,gy,0.000999190419322133,0.0013952971886216326,7.055764274727604
1767577466.2906802,gy,0.0009044369301407164,0.00146938002380421,7.190932467234995
1767577466.2908192,gy,0.0007754436495052214,0.0015288932477594051,7.322057220683549
1767577466.290931,gy,0.0006128840336869501,0.0015983359996163897,7.460451263746822
1767577466.291046,gy,0.0004187438955453416,0.0016510721159616554,7.597561479101608
1767577466.291158,gy,0.00019635288475137376,0.0017144691742300904,7.739202854476689
1767577466.291276,gy,-4.962854275364324e-05,0.0017602577142799146,7.882179277779091
1767577466.291391,gy,-0.00031327223866720077,0.0018165595081387274,8.02730168925434
1767577466.2915058,gy,-0.0005874997687281944,0.0018556960967612518,8.17611684808372
1767577466.29162,gy,-0.0008642560801658001,0.0019042975658757697,8.325057329841165
1767577466.291743,gy,-0.0011347384776879985,0.0019375491028637182,8.479671549650947
1767577466.291855,gy,-0.0013896766779391786,0.0019783791466247403,8.632790219848877
1767577466.29197,gy,-0.0016196563699532002,0.002006959331585895,8.793069882975871
1767577466.292085,gy,-0.0018154755114855635,0.0020405388993831133,8.95067791773923
1767577466.292213,gy,-0.0019685197482777594,0.002066026786794769,9.116325640814823
1767577466.292334,gy,-0.0020711411015501917,0.0020934647071002514,9.278610390863687
1767577466.292448,gy,-0.002117022634800665,0.0021176494144144074,9.449108745162002
1767577466.292678,gy,-0.002101511295578366,0.002140550686217024,9.616056404121213
1767577466.292845,gy,-0.002021901572194598,0.002165202194696345,9.790637743592452
